Date,SentimentMean,ArticleCount,SentimentWeighted
2024-06-05,0.123467,1,0.12346699999999998
2024-06-06,0.06602050000000001,2,0.0688867878650037
2024-06-07,0.122816,1,0.12281599999999998
2024-06-10,0.441718,1,0.441718
2024-06-11,0.345488,1,0.345488
2024-06-13,0.479716,1,0.479716
2024-06-17,0.27116233333333334,3,0.2691353634854849
2024-06-18,0.050142333333333323,6,0.06390158167134777
2024-06-19,0.1093545,4,0.1039524646503312
2024-06-21,0.034935999999999995,2,-0.004222650567048403
2024-06-23,0.23963,1,0.23963000000000004
2024-06-26,0.120769,1,0.120769
2024-06-27,0.14697766666666667,3,0.11210101645969543
2024-07-01,0.234645,1,0.23464500000000002
2024-07-06,0.327088,1,0.327088
2024-07-09,0.25051275,4,0.27843728705627047
2024-07-11,0.283506,2,0.286587533032392
2024-07-12,0.241308,1,0.241308
2024-07-16,0.406479,1,0.406479
2024-07-18,-0.143358,1,-0.143358
2024-07-19,0.211684,1,0.211684
2024-07-23,0.063613,1,0.063613
2024-07-26,0.185456,1,0.185456
2024-07-29,0.319092,1,0.319092
2024-08-02,0.726642,1,0.726642
2024-08-06,0.341615,1,0.341615
2024-08-07,0.128356,1,0.128356
2024-08-09,0.342063,1,0.342063
2024-08-12,0.302442,1,0.302442
2024-08-13,0.121401,1,0.121401
2024-08-15,0.304538,1,0.304538
2024-08-21,0.263952,1,0.263952
2024-08-22,0.2215025,2,0.21191331245575282
2024-08-23,0.00876,1,0.00876
2024-08-26,0.1901385,2,0.18101959312746949
2024-08-27,-0.056558,2,-0.0440142561711189
2024-08-28,-0.1581975,2,-0.15264497179603292
2024-08-29,0.134865,1,0.134865
2024-09-03,0.172489,3,0.1672275732418391
2024-09-04,0.2608265,2,0.25398262106385955
2024-09-05,0.0186655,2,0.0215984646123652
2024-09-06,0.329031,1,0.329031
2024-09-09,0.0410875,2,0.009463873205121005
2024-09-10,0.122349,1,0.122349
2024-09-12,0.012604,1,0.012604
2024-09-16,0.333015,1,0.333015
2024-09-18,0.136043,1,0.136043
2024-09-21,0.312456,1,0.312456
2024-09-23,0.237381,2,0.22999463976197795
2024-09-25,0.102252,1,0.102252
2024-09-26,0.324551,1,0.324551
2024-10-01,0.407408,1,0.407408
2024-10-08,0.236705,1,0.236705
2024-10-10,0.088265,1,0.088265
2024-10-14,0.094042,2,0.09345563995149188
2024-10-15,0.262881,1,0.262881
2024-10-17,0.079691,1,0.079691
2024-10-18,0.1557672,5,0.1564522319806184
2024-10-20,-0.202052,2,-0.19290174917000935
2024-10-23,0.333156,1,0.333156
2024-10-24,0.126754,1,0.126754
2024-10-26,0.145462,1,0.145462
2024-10-28,0.38342866666666664,3,0.4015530786464812
2024-10-29,0.296593,1,0.296593
2024-10-30,0.48452333333333336,3,0.5214975497248524
2024-10-31,0.341677,2,0.34179021346924887
2024-11-01,-0.135638,1,-0.135638
2024-11-05,0.1366705,2,0.13852269876237702
2024-11-06,0.333721,1,0.333721
2024-11-07,0.38421000000000005,2,0.39945757819321626
2024-11-11,0.223614,1,0.223614
2024-11-12,0.3437423333333333,3,0.34482904664417896
2024-11-14,0.106446,1,0.106446
2024-11-15,0.321932,1,0.321932
2024-11-18,-0.04341866666666667,3,-0.029338750037819446
2024-11-19,0.23665339999999996,5,0.23687311282364856
2024-11-20,0.2307595,2,0.21125733392121293
2024-11-21,0.10516,1,0.10516
2024-11-23,0.328854,1,0.328854
2024-11-26,0.20768950000000003,2,0.2075495902290937
2024-11-27,0.106645,1,0.10664499999999999
2024-11-30,-0.332757,1,-0.332757
2024-12-02,0.305997,1,0.305997
2024-12-04,-0.235571,1,-0.23557099999999997
2024-12-05,0.130837,1,0.130837
2024-12-06,0.12675833333333333,3,0.1397650638982904
2024-12-09,-0.230053,1,-0.23005299999999998
2024-12-10,0.080907,2,0.07903659976514336
2024-12-11,0.285126,2,0.2762548318624599
2024-12-13,0.349112,1,0.349112
2024-12-14,0.440034,1,0.440034
2024-12-15,0.191436,1,0.191436
2024-12-19,0.33579,1,0.33579
2024-12-20,0.261115,1,0.261115
2024-12-22,-0.437489,1,-0.437489
2024-12-23,0.413512,1,0.413512
2024-12-27,0.33884,1,0.33884
2024-12-29,0.132181,1,0.132181
2024-12-30,0.116614,1,0.116614
2024-12-31,0.312626,1,0.312626
2025-01-01,0.439645,1,0.439645
2025-01-05,0.101587,1,0.101587
2025-01-07,0.306246,1,0.306246
2025-01-08,0.3069665,2,0.30704583049194606
2025-01-10,0.121932,1,0.121932
2025-01-13,0.1728805,2,0.13921789054110137
2025-01-14,0.22754,1,0.22754
2025-01-22,0.3362515,2,0.3357180452133372
2025-01-25,0.103221,2,0.11575564437938857
2025-01-27,0.253826,1,0.253826
2025-01-29,0.281317,1,0.281317
2025-02-04,0.21822325,4,0.2254985753658771
2025-02-05,0.1624625,2,0.16033916843367485
2025-02-06,0.103791,2,0.1038237002480527
2025-02-08,0.290013,1,0.290013
2025-02-10,0.315119,1,0.315119
2025-02-14,-0.126964,1,-0.126964
2025-02-17,0.24046,1,0.24046
2025-02-19,0.12508,1,0.12508
2025-02-20,0.405759,1,0.4057589999999999
2025-02-22,0.289668,1,0.289668
2025-02-24,0.409425,1,0.409425
2025-02-26,0.149689,1,0.149689
2025-02-27,0.220776,1,0.220776
2025-03-04,-0.22126,1,-0.22126
2025-03-07,0.234058,1,0.234058
2025-03-09,0.343658,1,0.343658
2025-03-10,0.719741,1,0.719741
2025-03-14,0.146583,1,0.146583
2025-03-15,0.110847,1,0.11084700000000001
2025-03-16,0.296656,1,0.296656
2025-03-18,0.00569,1,0.00569
2025-03-19,0.111258,1,0.111258
2025-03-20,0.048256333333333346,3,0.07248826858646458
2025-03-21,0.347732,1,0.347732
2025-03-25,0.207936,1,0.207936
2025-03-26,0.420219,1,0.420219
2025-03-27,0.327336,1,0.327336
2025-03-31,0.13758800000000002,6,0.13213804285370528
2025-04-01,0.129723375,8,0.13103250485861867
2025-04-02,0.133435,3,0.1352882479593278
2025-04-03,0.1532785,4,0.15709213405624242
2025-04-04,0.04448466666666667,3,0.04486722844981737
2025-04-06,0.143381,1,0.143381
2025-04-08,0.104706,1,0.104706
2025-04-11,-0.243959,1,-0.24395899999999998
2025-04-13,-0.243659,1,-0.243659
2025-04-14,-0.0578645,2,-0.07346105505078067
2025-04-17,0.330007,1,0.330007
2025-04-18,0.122406,1,0.122406
2025-04-22,0.315145,2,0.3162808242806502
2025-04-23,0.1784906666666667,3,0.1801573254857896
2025-04-26,0.148757,1,0.148757
2025-04-29,0.3085825,2,0.3085835467273679
2025-04-30,0.15700666666666666,3,0.1573409054160704
2025-05-03,0.308608,1,0.308608
2025-05-04,0.115839,1,0.11583899999999998
2025-05-05,0.23436999999999997,2,0.2397832193914029
2025-05-06,0.314351,1,0.314351
2025-05-07,0.165443,3,0.1669352921703282
2025-05-10,0.09718349999999999,2,0.08670335208204095
2025-05-12,0.048468,2,0.034329506282933166
2025-05-13,0.130906,1,0.130906
2025-05-14,0.426157,1,0.426157
2025-05-15,0.327589,1,0.327589
2025-05-16,0.387235,1,0.387235
2025-05-19,0.32945800000000003,2,0.33041092943687855
2025-05-21,0.33509199999999995,3,0.33524694425901097
2025-05-22,0.4844385,2,0.5336205780363463
2025-05-27,0.111711,1,0.111711
2025-05-30,0.335747,1,0.335747
2025-06-03,0.2556133333333333,3,0.25701829320023273
2025-06-04,0.21839350000000002,2,0.23755566714133075
2025-06-06,0.2654435,2,0.2652964674239494
2025-06-09,-0.187299,1,-0.187299
2025-06-10,0.226156,2,0.22605213633847931
2025-06-11,0.2255805,2,0.22815788287483707
2025-06-12,0.07713666666666666,3,0.04715147256016854
2025-06-13,0.32079,1,0.32079
2025-06-18,0.30628299999999997,2,0.30614086433351717
2025-06-19,0.305355,1,0.305355
2025-06-20,0.2099165,2,0.21057388234550375
2025-06-21,0.339942,1,0.339942
2025-06-23,0.08636100000000001,2,0.07151157828317022
2025-06-25,0.20247700000000002,2,0.20578858872979355
2025-06-26,0.171172,2,0.1595517234134081
2025-06-27,0.2843685,2,0.267031180765725
2025-07-01,0.423281,1,0.423281
2025-07-02,0.211363,1,0.211363
2025-07-03,0.336932,1,0.336932
2025-07-06,0.052304,1,0.052304
2025-07-08,0.426992,1,0.426992
2025-07-09,0.30243071428571433,7,0.2932450473893025
2025-07-10,0.28629,1,0.28629
2025-07-11,-0.08286166666666667,3,-0.09126418723435598
2025-07-13,0.419645,1,0.419645
2025-07-14,0.127583,1,0.127583
2025-07-16,-0.050191,1,-0.050191
2025-07-17,0.24673449999999997,2,0.24682965037422755
2025-07-18,0.1211705,2,0.12480107152785905
2025-07-20,0.347745,1,0.347745
2025-07-21,0.2826385,2,0.2878164050312287
2025-07-22,0.19111866666666666,3,0.1985227826211461
2025-07-23,0.120515,1,0.120515
